group_key,domain_shift_type,target_role,label,observations,positives,top10_lift,roc_auc,average_precision
FIFA World Cup 2018,same_family_cross_season,base_v0_4,future_goal_h10,71838,590,4.677835868785625,0.7416649102490418,0.0983945116052505
FIFA World Cup 2022,same_family_cross_season,base_v0_4,future_goal_h10,234637,1808,4.977812461341645,0.7482893865439701,0.1119041131254003
Ligue 1 2021/2022,club_transfer,v0_5_candidate,future_goal_h10,101766,810,4.6788284403102125,0.7340498598827311,0.0964293116463096
UEFA Euro 2024,cross_competition_mens_international,base_v0_4,future_goal_h10,187924,1140,4.763005822436686,0.7564615047421321,0.0690802306687835
Women's World Cup 2023,gender_transfer,v0_5_candidate,future_goal_h10,226118,1664,4.843707157703874,0.7290254305040916,0.0897536746484996
FIFA World Cup 2018,same_family_cross_season,base_v0_4,future_high_xg_shot_h10,71838,1554,3.616372935136855,0.6811623966950926,0.1158685228107337
FIFA World Cup 2022,same_family_cross_season,base_v0_4,future_high_xg_shot_h10,234637,3986,4.076716566711756,0.7096158650128714,0.1410508817848441
Ligue 1 2021/2022,club_transfer,v0_5_candidate,future_high_xg_shot_h10,101766,2035,3.842600806028142,0.6887401384909683,0.1318900882944493
UEFA Euro 2024,cross_competition_mens_international,base_v0_4,future_high_xg_shot_h10,187924,3386,4.113867471924752,0.7120636315270094,0.1262828515948244
Women's World Cup 2023,gender_transfer,v0_5_candidate,future_high_xg_shot_h10,226118,4014,4.075698878443403,0.7040417441540782,0.1409990157022917
FIFA World Cup 2018,same_family_cross_season,base_v0_4,future_shot_h10,71838,5156,2.9246664426248485,0.6700196512986651,0.189558032501272
FIFA World Cup 2022,same_family_cross_season,base_v0_4,future_shot_h10,234637,13863,3.116168770432614,0.6727441651983045,0.1864648030189717
Ligue 1 2021/2022,club_transfer,v0_5_candidate,future_shot_h10,101766,6482,2.9403349058595896,0.6571778474589502,0.177058236017573
UEFA Euro 2024,cross_competition_mens_international,base_v0_4,future_shot_h10,187924,12682,2.941082568290446,0.6623341673452651,0.1826495668795254
Women's World Cup 2023,gender_transfer,v0_5_candidate,future_shot_h10,226118,15555,2.937293209790724,0.6678019448168053,0.1946549747353475
