source_file,group_key,competition_name,season_name,competition_id,season_id,domain_shift_type,target_role,label,score_column,observations,positives,base_rate,top10_n,top10_rate,top10_lift,roc_auc,average_precision
fifa_worldcup_2018_event_level_hybrid_scores_v0_2.csv,FIFA World Cup 2018,FIFA World Cup,2018,43,3,same_family_cross_season,base_v0_4,future_goal_h10,hybrid_score_v0_1,71838,590,0.0082129235223697,7184,0.0384187082405345,4.677835868785625,0.7416649102490418,0.0983945116052505
fifa_worldcup_2022_event_level_hybrid_scores_v0_2.csv,FIFA World Cup 2022,FIFA World Cup,2022,43,106,same_family_cross_season,base_v0_4,future_goal_h10,hybrid_score_v0_1,234637,1808,0.0077055195898345,23464,0.0383566314353903,4.977812461341645,0.7482893865439701,0.1119041131254003
uefa_euro_2024_event_level_hybrid_scores_v0_2.csv,UEFA Euro 2024,UEFA Euro,2024,55,282,cross_competition_mens_international,base_v0_4,future_goal_h10,hybrid_score_v0_1,187924,1140,0.0060662821140461,18793,0.0288937370297451,4.763005822436686,0.7564615047421321,0.0690802306687835
ligue1_2021_2022_event_level_hybrid_scores_v0_2.csv,Ligue 1 2021/2022,Ligue 1,2021/2022,7,108,club_transfer,v0_5_candidate,future_goal_h10,hybrid_score_v0_1,101766,810,0.0079594363539885,10177,0.0372408371818807,4.6788284403102125,0.7340498598827311,0.0964293116463096
wwc_2023_event_level_hybrid_scores_v0_2.csv,Women's World Cup 2023,Women's World Cup,2023,72,107,gender_transfer,v0_5_candidate,future_goal_h10,hybrid_score_v0_1,226118,1664,0.0073589895541266,22612,0.035644790376791,4.843707157703874,0.7290254305040916,0.0897536746484996
ALL_FILES_COMBINED,All five validation groups,All,v0.5,mixed,mixed,mixed,mixed,future_goal_h10,hybrid_score_v0_1,822283,6012,0.0073113514446972,82229,0.035413297012003,4.843604808203745,0.7413206598103553,0.0918026618740408
TARGET_ROLE::base_v0_4,target_role=base_v0_4,Aggregate,,mixed,mixed,mixed,base_v0_4,future_goal_h10,hybrid_score_v0_1,494399,3538,0.0071561633417543,49440,0.0348907766990291,4.87562609079234,0.7493128740067425,0.0923308422958172
TARGET_ROLE::v0_5_candidate,target_role=v0_5_candidate,Aggregate,,mixed,mixed,mixed,v0_5_candidate,future_goal_h10,hybrid_score_v0_1,327884,2474,0.007545351404765,32789,0.0361096709262252,4.785684455123057,0.7294627253021789,0.0915598742992658
DOMAIN::club_transfer,domain_shift_type=club_transfer,Aggregate,,mixed,mixed,club_transfer,mixed,future_goal_h10,hybrid_score_v0_1,101766,810,0.0079594363539885,10177,0.0372408371818807,4.6788284403102125,0.7340498598827311,0.0964293116463096
DOMAIN::cross_competition_mens_international,domain_shift_type=cross_competition_mens_international,Aggregate,,mixed,mixed,cross_competition_mens_international,mixed,future_goal_h10,hybrid_score_v0_1,187924,1140,0.0060662821140461,18793,0.0288937370297451,4.763005822436686,0.7564615047421321,0.0690802306687835
DOMAIN::gender_transfer,domain_shift_type=gender_transfer,Aggregate,,mixed,mixed,gender_transfer,mixed,future_goal_h10,hybrid_score_v0_1,226118,1664,0.0073589895541266,22612,0.035644790376791,4.843707157703874,0.7290254305040916,0.0897536746484996
DOMAIN::same_family_cross_season,domain_shift_type=same_family_cross_season,Aggregate,,mixed,mixed,same_family_cross_season,mixed,future_goal_h10,hybrid_score_v0_1,306475,2398,0.0078244555020801,30648,0.0384038110154006,4.908176806065439,0.7465807811952333,0.1082841266447419
